resource_id,review,rating,label
660,"This is a very interesting concept that needs to be studied more and developed to be able to implement it as a practical procedure routine in organizations. At my current job, bridge engineering, we try to keep ourselves motivated about the importance of our job since the state department doesn’t appreciate all the time and we don’t have direct contact with the users, commuters. I hope one day, top management in department of transportation finds out how important our job is and start encouraging us instead of giving pay cuts w/o attentions.Ali Jenabzadeh",4,Positive
660,It really is a motivator to understand the task significance of ones job. One often gets caught up in the 9-5. But it does provide a little boost to your motivation if you realize your doing some good!,4,Positive
677,Great simulation; goes from whole body to molecular structure of nucleotides.,5,Positive
678,It is so important to remember what a patient goes through and what we as health professionals can do to help.,5,Neutral
681,"This looks like a informative and fun lab.  I like the amount time this lab takes, only 20 minutes, which makes it very convienent",4,Positive
719,"This web site is all about Archimedes of Syracuse and I got that.  But what i really didnt like was there organization of the web site.  I thought it should have broken up the site in titles, columns, and what not.  Overall I was fairly distracted by the lack of organization",1,Negative
766,The content is out of date and is not based on current national guidance from the Resuscitation Council (UK. Hence the content is incorrect,1,Negative
768,"Very helpful systematic approach to the ""Job Search Process"", particularly the pages under ""Getting Ready to Search"". Keep in mind that this is written from an American cultural perspective.",4,Positive
804,This presentation includes several useful examples Concept Maps that demonstrate how the tool can lead to deeper levels of processing by students. Also includes an overview of author's research of how Concept Maps enhanced student performance (especially among students with lower achievement scores) along anecdotal suggestions for how to introduce Concept Maps into a course through scaffolding techniques. Also explores strategies for how Concept Maps can be used to assess student learning and misconceptions. It is not immediately clear what the memory/application tasks toward the end of the presentation related to Concept Maps.  Overall this is a very useful introduction into the use of concept maps.Technical Remarks:Nice presentation with dual screens with the author and the PowerPoint. I also appreciate the author's use of a Tablet PC!,4,Positive
806,I spend 5 min looking at the site and I found that it is very instering and enjoyed looking at I thought that it had a lot to do with math but I didn't understand that math behind it was to advance and I felt that it wouldn't be useful for students in the sake of trying to learn something new     the site was very easy to use.,4,Positive
813,"As with the author's concave lens applet, this one is not very versatile.",3,Negative
814,It is a non-useful search engine.,1,Negative
834,"An animation showing how the chemical reactions in the Dark Reaction phase of photosynthesis work, and what they form. Needs some work, as the animation happens very quickly and is hard to follow, and the lack of an enzyme in the animation itself may confuse some students as to how the reaction occurs.",3,Negative
839,"This resource has very good information and all the links worked well. Audio would help those student who have difficulty reading at that level as well as those who may have difficulty visually.  Additionally, there are quite a few questions being asked of the learner and it gets quite tiring even for an older learner. Maybe you could have a few questions and then let them play a game and then have a few more questions in order to split up the drill and practice.Technical Remarks:All the links worked great.",3,Positive
847,While viewing the site I found that it provides informative information with visual aid. Also giving advatagtes and disadvantages on the topic. Although this site is How DSL Works the author could have given a brief history on DSL.Technical Remarks: I found the site to be user friendly and well put togehter.,5,Positive
870,This is a great web site and I plan to use it with my class.,5,Positive
895,"I feel like my brain is mush. I spent 30 minutes at this site going to, playing with or what ever I was suposst to do to the different curves. Although, I spent most of the time trying to figure out why this curve thing is so important. Am I just not a math person or should there be some information on what curves are, some explanation on why we use them and why they are important. I feel this Famous Math Curve site was incomplete and should be geared not only for those who know about curves but those who choose to learn.   ",1,Negative
902,"I have been an admirer of Dr. David Merrill's Five Star Evaluations of Online Learning for several years -- attending presentations about its application by Max Cropper at Utah State University.  This site provides some theoretical background for it at the links provided.  However, it is now dated.  The material here is more theoretical than applied, and some application examples have been developed.  Also see technical comments below.Technical Remarks:Links to the videos and some papers do not work -- error messages display that they are not longer on the servers to which directed.",2,Neutral
905,"Case was well-developed however Exhibits A-C containing financial information and analysis were missing from the case. In addition, as a faculty member, I would be interested in viewing suggested case solution in order to effectively lead students through the assigned case. ",3,Neutral
911,This textbook is thorough and I use it in my first year Elementary French courses every semester. This book has many learning exercises and chapter exam questions for each module. I have received great feedback from my students.,5,Positive
916,"This was a very interesting and enjoyable article to read.  Even though Galileo studied medicine, he is remembered for his work on the telescope and theories of space.  Galileo believed that everything revolved around the sun.  Most of the astronomers at the time believed that everything but the earth and moon goes around the sun which, in turn, goes around the earth.  His teachings and lectures disagree with the standard of society. Galileo continued to write and smuggled out his articles outside the country.  Learning about Galileo in public school centered on his invention of the telescope and not his troubles with the scientific community at the time, which this article pointed out.  I gained a lot of insight into the life of Galileo that I did not know.  I connected to the various links to other sites about his life because the article was very interesting.        ",5,Positive
921,This will be fun. I saw an other one like this using split peas.,5,Positive
922,I give one star because it is the lowest rate. I'd give none. It doesn´t work on my windowslaptop.,1,Negative
945,There is interesting content on this site BUT it is mixed with horrific advertising and poor web page design.,1,Negative
948,"Message says not available in the USA.
 ",1,Neutral
954,"1. I have used this program as a tool for graduate students who wanted to build relatively advanced websites for language learners.  It is very effective and the students loved it.  The price is right (free for non-commercial use) and the program is comprhensive and well documented.2. The quality of the content is not really an appropriate category unless we are talking about the design of the program (which is excellent).3. This is a great tool for students in teacher education programs who want to build their own teaching and learning web sites.  If we think about this as a tool for the resolution of a problem, such as building a website that will help students learn, then it is terrific.4. My students were able to build fairly advanced site (considering their low incoming skills).  ",5,Positive
956,The video doesn't run,1,Negative
972, Ellyssa Kroski is at her best as usual!The blog is a very good resource for those wanting to try their hand at creating and maintaining blogs.,5,Positive
983,page not found,1,Negative
1000,"Permaculture is new to me, it is very interesting in a world where we are trying to find different ecological friendly avenues. I would discuss this topic when talking about global warming and ecological systems.",4,Positive
1003,Technical Remarks: Teaches principles of project management. Overall very good material.,5,Positive
1003,This seems to go to a dead link.,1,Negative
1026,I like that this site provides information about both hiragana and katakana for beginners and kanji for the more advanced learners. Overall it's great but I wish it would provide a guide to writing the characters.,4,Positive
1066,I was disappointed because the window did not open and the simulation was therefore unable to play.Technical Remarks:Problem opening the window,1,Negative
1118,This requires a subscription. Only useful if the college already subscribes.,1,Neutral
